season,retaining_team,player,nationality,salary
2026,Punjab Kings,Azmatullah Omarzai,Afghanistan,240
2026,Punjab Kings,Harnoor Pannu,India,30
2026,Punjab Kings,Harpreet Brar,India,150
2026,Punjab Kings,Lockie Ferguson,New Zealand,200
2026,Punjab Kings,Marco Jansen,South Africa,700
2026,Punjab Kings,Marcus Stoinis,Australia,1100
2026,Punjab Kings,Mitchell Owen,Australia,300
2026,Punjab Kings,Musheer Khan,India,30
2026,Punjab Kings,Nehal Wadhera,India,420
2026,Punjab Kings,Prabhsimran Singh,India,400
2026,Punjab Kings,Priyansh Arya,India,380
2026,Punjab Kings,Pyla Avinash,India,30
2026,Punjab Kings,Shashank Singh,India,550
2026,Punjab Kings,Shreyas Iyer,India,2675
2026,Punjab Kings,Suryansh Shedge,India,30
2026,Punjab Kings,Vijaykumar Vyshak,India,180
2026,Punjab Kings,Vishnu Vinod,India,95
2026,Punjab Kings,Xavier Bartlett,Australia,80
2026,Punjab Kings,Yash Thakur,India,160
2026,Punjab Kings,Yuzvendra Chahal,India,1800
2026,Rajasthan Royals,Dhruv Jurel,India,1400
2026,Rajasthan Royals,Donovan Ferreira,South Africa,100
2026,Rajasthan Royals,Jofra Archer,England,1250
2026,Rajasthan Royals,Kwena Maphaka,South Africa,150
2026,Rajasthan Royals,Lhuan-dre Pretorius,South Africa,30
2026,Rajasthan Royals,Nandre Burger,South Africa,350
2026,Rajasthan Royals,Ravindra Jadeja,India,1400
2026,Rajasthan Royals,Riyan Parag,India,1400
2026,Rajasthan Royals,Sam Curran,England,240
2026,Rajasthan Royals,Sandeep Sharma,India,400
2026,Rajasthan Royals,Shimron Hetmyer,West Indies,1100
2026,Rajasthan Royals,Shubham Dubey,India,80
2026,Rajasthan Royals,Tushar Deshpande,India,650
2026,Rajasthan Royals,Vaibhav Sooryavanshi,India,110
2026,Rajasthan Royals,Yashasvi Jaiswal,India,1800
2026,Rajasthan Royals,Yudhvir Singh,India,35
2026,Royal Challengers Bengaluru,Abhinandan Singh,India,30
2026,Royal Challengers Bengaluru,Bhuvneshwar Kumar,India,1075
2026,Royal Challengers Bengaluru,Devdutt Padikkal,India,200
2026,Royal Challengers Bengaluru,Jacob Bethell,England,260
2026,Royal Challengers Bengaluru,Jitesh Sharma,India,1100
2026,Royal Challengers Bengaluru,Josh Hazlewood,Australia,1250
2026,Royal Challengers Bengaluru,Krunal Pandya,India,575
2026,Royal Challengers Bengaluru,Nuwan Thushara,Sri Lanka,160
2026,Royal Challengers Bengaluru,Phil Salt,England,1150
2026,Royal Challengers Bengaluru,Rajat Patidar,India,1100
2026,Royal Challengers Bengaluru,Rasikh Salam,India,600
2026,Royal Challengers Bengaluru,Romario Shepherd,West Indies,150
2026,Royal Challengers Bengaluru,Suyash Sharma,India,260
2026,Royal Challengers Bengaluru,Swapnil Singh,India,50
2026,Royal Challengers Bengaluru,Tim David,Australia,300
2026,Royal Challengers Bengaluru,Virat Kohli,India,2100
2026,Royal Challengers Bengaluru,Yash Dayal,India,500
2026,Sunrisers Hyderabad,Abhishek Sharma,India,1400
2026,Sunrisers Hyderabad,Aniket Verma,India,30
2026,Sunrisers Hyderabad,Brydon Carse,England,100
2026,Sunrisers Hyderabad,Eshan Malinga,Sri Lanka,120
2026,Sunrisers Hyderabad,Harsh Dubey,India,30
2026,Sunrisers Hyderabad,Harshal Patel,India,800
2026,Sunrisers Hyderabad,Heinrich Klaasen,South Africa,2300
2026,Sunrisers Hyderabad,Ishan Kishan,India,1125
2026,Sunrisers Hyderabad,Jaydev Unadkat,India,100
2026,Sunrisers Hyderabad,Kamindu Mendis,Sri Lanka,75
2026,Sunrisers Hyderabad,Nitish Kumar Reddy,India,600
2026,Sunrisers Hyderabad,Pat Cummins,Australia,1800
2026,Sunrisers Hyderabad,Smaran Ravichandran,India,30
2026,Sunrisers Hyderabad,Travis Head,Australia,1400
2026,Sunrisers Hyderabad,Zeeshan Ansari,India,40
